Fecha,S&P Colombia Sovereign Bond Index
20/08/2013,904.58
21/08/2013,905.11
22/08/2013,905.76
23/08/2013,907.31
26/08/2013,907.02
27/08/2013,906.56
28/08/2013,904.37
29/08/2013,904.53
30/08/2013,904.62
2/09/2013,904.98
3/09/2013,906.02
4/09/2013,904.03
5/09/2013,904.43
6/09/2013,906.3
9/09/2013,907.65
10/09/2013,910.47
11/09/2013,914.24
12/09/2013,919.4
13/09/2013,917.76
16/09/2013,918.16
17/09/2013,916.57
18/09/2013,919.24
19/09/2013,921.15
20/09/2013,922.78
23/09/2013,921.1
24/09/2013,924.04
25/09/2013,923.53
26/09/2013,923.6
27/09/2013,924.45
30/09/2013,921.67
1/10/2013,921.51
2/10/2013,921.61
3/10/2013,922.04
4/10/2013,924.36
7/10/2013,924.74
8/10/2013,926.19
9/10/2013,925.24
10/10/2013,926.11
11/10/2013,928.36
14/10/2013,928.94
15/10/2013,928.13
16/10/2013,929.89
17/10/2013,933.91
18/10/2013,935.85
21/10/2013,935.79
22/10/2013,939.32
23/10/2013,941.38
24/10/2013,940.86
25/10/2013,940.83
28/10/2013,940.11
29/10/2013,940.7
30/10/2013,942.14
31/10/2013,937.5
1/11/2013,937.03
4/11/2013,935.03
5/11/2013,929.74
6/11/2013,931.84
7/11/2013,930.92
8/11/2013,925.68
11/11/2013,924.27
12/11/2013,923.08
13/11/2013,923.87
14/11/2013,926.84
15/11/2013,929.42
18/11/2013,930.98
19/11/2013,932.55
20/11/2013,931.83
21/11/2013,931.11
22/11/2013,935.22
25/11/2013,935.57
26/11/2013,935.42
27/11/2013,935.48
28/11/2013,935.61
29/11/2013,936.22
2/12/2013,933.22
3/12/2013,932.4
4/12/2013,931.14
5/12/2013,930.64
6/12/2013,936.73
9/12/2013,938
10/12/2013,938.16
11/12/2013,936.7
12/12/2013,936.88
13/12/2013,936.55
16/12/2013,938.19
17/12/2013,938.22
18/12/2013,938.05
19/12/2013,939.38
20/12/2013,941.49
23/12/2013,943.37
24/12/2013,943.37
25/12/2013,943.57
26/12/2013,943.32
27/12/2013,942.26
30/12/2013,942.28
31/12/2013,943.08
1/01/2014,943.28
2/01/2014,941.37
3/01/2014,939.98
6/01/2014,940.59
7/01/2014,941.51
8/01/2014,942.38
9/01/2014,942.12
10/01/2014,945.21
13/01/2014,945.84
14/01/2014,945.17
15/01/2014,946.07
16/01/2014,946.04
17/01/2014,943.71
20/01/2014,944.06
21/01/2014,944.47
22/01/2014,944.21
23/01/2014,943.71
24/01/2014,942.62
27/01/2014,941.49
28/01/2014,941.72
29/01/2014,939.23
30/01/2014,939.01
31/01/2014,934.51
3/02/2014,933.8
4/02/2014,933.72
5/02/2014,933.32
6/02/2014,934.42
7/02/2014,934.98
10/02/2014,937.06
11/02/2014,937.56
12/02/2014,937.97
13/02/2014,937.57
14/02/2014,938.23
17/02/2014,939.23
18/02/2014,937.74
19/02/2014,936.57
20/02/2014,934.37
21/02/2014,934.78
24/02/2014,936.38
25/02/2014,936.1
26/02/2014,934.38
27/02/2014,935.52
28/02/2014,936.85
3/03/2014,937.04
4/03/2014,938.17
5/03/2014,940.02
